english	translation	category	sub_category	source
Draynor Manor stones to Champions' Guild	Draynor Manor stones to Champions' Guild	interface	generalUI	skillGuide
Scale the Catherby cliff (with <Num0> Strength and <Num1> Ranged)	Scale the Catherby cliff (<Num0> Strength és <Num1> Ranged szinttel)	interface	generalUI	skillGuide
Shilo Village river crossing	Shilo Village river crossing	interface	generalUI	skillGuide
Ardougne log balance shortcut	Ardougne log balance shortcut	interface	generalUI	skillGuide
Escape from the water obelisk island (with <Num0> Strength and <Num1> Ranged)	Escape from the water obelisk island (<Num0> Strength és <Num1> Ranged szinttel)	interface	generalUI	skillGuide
Gnome Stronghold shortcut	Gnome Stronghold shortcut	interface	generalUI	skillGuide
Al Kharid Mining pit cliffside scramble	Al Kharid Mining pit cliffside scramble	interface	generalUI	skillGuide
Scale Yanille wall (with <Num0> Strength and <Num1> Ranged)	Scale Yanille wall (<Num0> Strength és <Num1> Ranged szinttel)	interface	generalUI	skillGuide
Hosidius lake isle jump	Hosidius lake isle jump	interface	generalUI	skillGuide
Trollheim easy cliffside scramble	Trollheim easy cliffside scramble	interface	generalUI	skillGuide
Dwarven Mine narrow crevice	Dwarven Mine narrow crevice	interface	generalUI	skillGuide
Draynor narrow tunnel	Draynor narrow tunnel	interface	generalUI	skillGuide
Trollheim medium cliffside scramble	Trollheim medium cliffside scramble	interface	generalUI	skillGuide
Fremennik Slayer Dungeon spiked blades jump	Fremennik Slayer Dungeon spiked blades jump	interface	generalUI	skillGuide
Trollheim advanced cliffside scramble	Trollheim advanced cliffside scramble	interface	generalUI	skillGuide
Hosidius river jump	Hosidius river jump	interface	generalUI	skillGuide
Cosmic Temple - medium narrow walkway	Cosmic Temple - medium narrow walkway	interface	generalUI	skillGuide
Deep Wilderness - narrow tunnel	Deep Wilderness - narrow tunnel	interface	generalUI	skillGuide
Trollheim hard cliffside scramble	Trollheim hard cliffside scramble	interface	generalUI	skillGuide
Ralos' Rise rock climb	Ralos' Rise rock climb	interface	generalUI	skillGuide
Log balance to Fremennik Province	Log balance to Fremennik Province	interface	generalUI	skillGuide
Arceuus essence mine boulder leap	Arceuus essence mine boulder leap	interface	generalUI	skillGuide
Stepping stone into Morytania near the Nature Grotto	Stepping stone into Morytania near the Nature Grotto	interface	generalUI	skillGuide
Pipe from Edgeville dungeon to Varrock Sewers	Pipe from Edgeville dungeon to Varrock Sewers	interface	generalUI	skillGuide
Arceuus essence mine eastern scramble	Arceuus essence mine eastern scramble	interface	generalUI	skillGuide
Karamja crossing, south of volcano (with <Num0> Strength and <Num1> Ranged)	Karamja crossing, south of volcano (<Num0> Strength és <Num1> Ranged szinttel)	interface	generalUI	skillGuide
Motherlode Mine dark tunnel	Motherlode Mine dark tunnel	interface	generalUI	skillGuide
Western Aldarin cliff scramble	Western Aldarin cliff scramble	interface	generalUI	skillGuide
Stepping stone by Miscellania docks	Stepping stone by Miscellania docks	interface	generalUI	skillGuide
Rock climb in the Temple of the Eye	Rock climb in the Temple of the Eye	interface	generalUI	skillGuide
Brimhaven Dungeon eastern stepping stones	Brimhaven Dungeon eastern stepping stones	interface	generalUI	skillGuide
Rellekka east fence shortcut	Rellekka east fence shortcut	interface	generalUI	skillGuide
Port Phasmatys ectopool shortcut	Port Phasmatys ectopool shortcut	interface	generalUI	skillGuide
Elven overpass easy cliffside scramble	Elven overpass easy cliffside scramble	interface	generalUI	skillGuide
Wilderness from the God Wars Dungeon area climb	Wilderness from the God Wars Dungeon area climb	interface	generalUI	skillGuide
Estuary crossing on Mos Le'Harmless	Estuary crossing on Mos Le'Harmless	interface	generalUI	skillGuide
Pillars in the Wintertodt's Prison	Pillars in the Wintertodt's Prison	interface	generalUI	skillGuide
Stepping stone in the Tombs of Amascut	Stepping stone in the Tombs of Amascut	interface	generalUI	skillGuide
Slayer Tower medium spiked chain climb	Slayer Tower medium spiked chain climb	interface	generalUI	skillGuide
Fremennik Slayer Dungeon narrow crevice	Fremennik Slayer Dungeon narrow crevice	interface	generalUI	skillGuide
Mount Karuulm upper cliffside climb	Mount Karuulm upper cliffside climb	interface	generalUI	skillGuide
Stepping stones in the Necropolis	Stepping stones in the Necropolis	interface	generalUI	skillGuide
Taverley dungeon lesser demon fence shortcut	Taverley dungeon lesser demon fence shortcut	interface	generalUI	skillGuide
Darkmeyer wall climb	Darkmeyer wall climb	interface	generalUI	skillGuide
Forthos Dungeon spiked blades jump	Forthos Dungeon spiked blades jump	interface	generalUI	skillGuide
Trollheim Wilderness route	Trollheim Wilderness route	interface	generalUI	skillGuide
Rope to the Fossil Island volcano	Rope to the Fossil Island volcano	interface	generalUI	skillGuide
Temple on the Salve to Morytania shortcut	Temple on the Salve to Morytania shortcut	interface	generalUI	skillGuide
Revenant cave jump (easy)	Revenant cave jump (easy)	interface	generalUI	skillGuide
Cosmic Temple advanced narrow walkway	Cosmic Temple advanced narrow walkway	interface	generalUI	skillGuide
Lumbridge Swamp to the Desert	Lumbridge Swamp to the Desert	interface	generalUI	skillGuide
Taverley wall shortcut	Taverley wall shortcut	interface	generalUI	skillGuide
Heroes' Guild tunnel	Heroes' Guild tunnel	interface	generalUI	skillGuide
Elven overpass medium cliffside scramble	Elven overpass medium cliffside scramble	interface	generalUI	skillGuide
Ice Mountain western scramble	Ice Mountain western scramble	interface	generalUI	skillGuide
Arceuus essence mine northern scramble	Arceuus essence mine northern scramble	interface	generalUI	skillGuide
Taverley Dungeon shortcuts to blue dragons	Taverley Dungeon shortcuts to blue dragons	interface	generalUI	skillGuide
Fossil island hardwood shortcut	Fossil island hardwood shortcut	interface	generalUI	skillGuide
Al Kharid Palace southern window	Al Kharid Palace southern window	interface	generalUI	skillGuide
Slayer Tower advanced spiked chain climb	Slayer Tower advanced spiked chain climb	interface	generalUI	skillGuide
Gu'Tanoth wall climb (after completing the Watchtower quest)	Gu'Tanoth wall climb (after completing the Watchtower quest)	interface	generalUI	skillGuide
Pollnivneach stepping stone	Pollnivneach stepping stone	interface	generalUI	skillGuide
Stronghold Slayer Cave narrow tunnel	Stronghold Slayer Cave narrow tunnel	interface	generalUI	skillGuide
Basic Asgarnian Ice Dungeon wyvern tunnel	Basic Asgarnian Ice Dungeon wyvern tunnel	interface	generalUI	skillGuide
Chaos temple Stepping Stone	Chaos temple Stepping Stone	interface	generalUI	skillGuide
Barrows wall-jump	Barrows wall-jump	interface	generalUI	skillGuide
Troll Stronghold wall-climb	Troll Stronghold wall-climb	interface	generalUI	skillGuide
Arceuus essence mine western descent	Arceuus essence mine western descent	interface	generalUI	skillGuide
Lava Dragon Isle jump	Lava Dragon Isle jump	interface	generalUI	skillGuide
Meiyerditch Laboratory tunnels	Meiyerditch Laboratory tunnels	interface	generalUI	skillGuide
Revenant cave jump (medium)	Revenant cave jump (medium)	interface	generalUI	skillGuide
Island crossing near Zul-Andra	Island crossing near Zul-Andra	interface	generalUI	skillGuide
Wilderness Slayer Dungeon Crevices	Wilderness Slayer Dungeon Crevices	interface	generalUI	skillGuide
Iorwerth Dungeon northern shortcut	Iorwerth Dungeon northern shortcut	interface	generalUI	skillGuide
Shilo village rock climb	Shilo village rock climb	interface	generalUI	skillGuide
Kharazi Jungle vine climb (with Legends' Guild access)	Kharazi Jungle vine climb (with Legends' Guild access)	interface	generalUI	skillGuide
Taverley Dungeon spiked blades jump	Taverley Dungeon spiked blades jump	interface	generalUI	skillGuide
Waterbirth Dungeon crevice	Waterbirth Dungeon crevice	interface	generalUI	skillGuide
Lava Maze northern jump	Lava Maze northern jump	interface	generalUI	skillGuide
Adept Asgarnian Ice Dungeon wyvern tunnel	Adept Asgarnian Ice Dungeon wyvern tunnel	interface	generalUI	skillGuide
Iorwerth Dungeon southern shortcut	Iorwerth Dungeon southern shortcut	interface	generalUI	skillGuide
Crandor rock-climb	Crandor rock-climb	interface	generalUI	skillGuide
Elven overpass advanced cliffside scramble	Elven overpass advanced cliffside scramble	interface	generalUI	skillGuide
Waterbirth Island rock-climb	Waterbirth Island rock-climb	interface	generalUI	skillGuide
Kalphite Lair shortcut	Kalphite Lair shortcut	interface	generalUI	skillGuide
Brimhaven Dungeon vine to baby green dragons	Brimhaven Dungeon vine to baby green dragons	interface	generalUI	skillGuide
Karuulm Dungeon pipe	Karuulm Dungeon pipe	interface	generalUI	skillGuide
Revenant cave jump (hard)	Revenant cave jump (hard)	interface	generalUI	skillGuide
Viyeldi Caves cliff climb	Viyeldi Caves cliff climb	interface	generalUI	skillGuide
Meiyerditch Laboratories advanced shortcut.	Meiyerditch Laboratories advanced shortcut.	interface	generalUI	skillGuide
Viyeldi caves crevice (after completing the Legends' Quest)	Viyeldi caves crevice (after completing the Legends' Quest)	interface	generalUI	skillGuide
Leaping trout (with <Num0> Strength & <Num1> Fishing)	Leaping trout (<Num0> Strength & <Num1> Fishing szinttel)	interface	generalUI	skillGuide
Leaping salmon (with <Num0> Strength & <Num1> Fishing)	Leaping salmon (<Num0> Strength & <Num1> Fishing szinttel)	interface	generalUI	skillGuide
Leaping sturgeon (with <Num0> Strength & <Num1> Fishing)	Leaping sturgeon (<Num0> Strength & <Num1> Fishing szinttel)	interface	generalUI	skillGuide
Other - Members Only	Other – Csak tagoknak	interface	generalUI	skillGuide
Crystal weaponry (with <Num0> Attack)	Crystal weaponry (<Num0> Attack szinttel)	interface	generalUI	skillGuide
Hallowed Sepulchre (Floor <Num0>)		interface	generalUI	skillGuide
Ring of Endurance	Ring of Endurance	interface	generalUI	skillGuide
Bow of Faerdhinen (with <Num0> Ranged)	Bow of Faerdhinen (<Num0> Ranged szinttel)	interface	generalUI	skillGuide
Smithing	Kovácsolás	interface	generalUI	skillGuide
Smelting	Olvasztás	interface	generalUI	skillGuide
Bronze <Num0> tin ore & <Num1> copper ore		interface	generalUI	skillGuide
Members: Blurite (after Knight's Sword quest)	Tagoknak: Blurite (after Knight's Sword quest)	interface	generalUI	skillGuide
Iron <Num0>% chance of success		interface	generalUI	skillGuide
Silver	Ezüst	interface	generalUI	skillGuide
Steel <Num0> coal & <Num1> iron ore		interface	generalUI	skillGuide
Members: Lovakite <Num0> coal & <Num1> lovakite ore	Tagoknak: Lovakite <Num0> coal & <Num1> lovakite ore	interface	generalUI	skillGuide
Mithril <Num0> coal & <Num1> mithril ore		interface	generalUI	skillGuide
Adamant <Num0> coal & <Num1> adamantite ore		interface	generalUI	skillGuide
Runite <Num0> coal & <Num1> runite ore		interface	generalUI	skillGuide
Blurite	Blurite	interface	generalUI	skillGuide
Lovakite	Lovakite	interface	generalUI	skillGuide
Crystal	Crystal	interface	generalUI	skillGuide
Bronze daggers <Num0> bar	Bronze daggers – <Num0> rúd	interface	generalUI	skillGuide
Bronze axes <Num0> bar	Bronze axes – <Num0> rúd	interface	generalUI	skillGuide
Members: Convert bronze felling axes	Tagoknak: bronze felling axes átalakítása	interface	generalUI	skillGuide
Bronze maces <Num0> bar	Bronze maces – <Num0> rúd	interface	generalUI	skillGuide
Bronze medium helms <Num0> bar	Bronze medium helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Bronze crossbow bolts <Num0> bar makes <Num1>	Tagoknak: Bronze crossbow bolts – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Bronze swords <Num0> bar	Bronze swords – <Num0> rúd	interface	generalUI	skillGuide
Members: Bronze dart tips <Num0> bar makes <Num1>	Tagoknak: Bronze dart tips – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Bronze wire <Num0> bar	Tagoknak: Bronze wire – <Num0> rúd	interface	generalUI	skillGuide
Members: Bronze nails <Num0> bar makes <Num1>	Tagoknak: Bronze nails – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Bronze scimitars <Num0> bars	Bronze scimitars – <Num0> rúd	interface	generalUI	skillGuide
Members: Bronze spears <Num0> bar, <Num1> log	Tagoknak: Bronze spears – <Num0> rúd, <Num1> log	interface	generalUI	skillGuide
Members: Bronze hastae <Num0> bar, <Num1> log	Tagoknak: Bronze hastae – <Num0> rúd, <Num1> log	interface	generalUI	skillGuide
Members: Bronze arrowheads <Num0> bar makes <Num1>	Tagoknak: Bronze arrowheads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Bronze crossbow limbs <Num0> bar	Tagoknak: Bronze crossbow limbs – <Num0> rúd	interface	generalUI	skillGuide
Bronze longswords <Num0> bars	Bronze longswords – <Num0> rúd	interface	generalUI	skillGuide
Members: Bronze javelin heads <Num0> bar makes <Num1>	Tagoknak: Bronze javelin heads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Bronze full helms <Num0> bars	Bronze full helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Bronze throwing knives <Num0> bar makes <Num1>	Tagoknak: Bronze throwing knives – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Bronze square shields <Num0> bars	Bronze square shields – <Num0> rúd	interface	generalUI	skillGuide
Bronze warhammers <Num0> bars	Bronze warhammers – <Num0> rúd	interface	generalUI	skillGuide
Bronze battleaxes <Num0> bars	Bronze battleaxes – <Num0> rúd	interface	generalUI	skillGuide
Bronze chainbodies <Num0> bars	Bronze chainbodies – <Num0> rúd	interface	generalUI	skillGuide
Bronze kiteshields <Num0> bars	Bronze kiteshields – <Num0> rúd	interface	generalUI	skillGuide
Members: Bronze claws <Num0> bars	Tagoknak: Bronze claws – <Num0> rúd	interface	generalUI	skillGuide
Bronze two-handed swords <Num0> bars	Bronze two-handed swords – <Num0> rúd	interface	generalUI	skillGuide
Bronze platelegs <Num0> bars	Bronze platelegs – <Num0> rúd	interface	generalUI	skillGuide
Bronze plateskirts <Num0> bars	Bronze plateskirts – <Num0> rúd	interface	generalUI	skillGuide
Bronze platebodies <Num0> bars	Bronze platebodies – <Num0> rúd	interface	generalUI	skillGuide
Blurite - Members Only	Blurite – Csak tagoknak	interface	generalUI	skillGuide
After completing Knight's Sword, able to make:	After completing Knight's Sword, able to make:	interface	generalUI	skillGuide
Blurite crossbow bolts <Num0> bar makes <Num1>	Blurite crossbow bolts – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Blurite crossbow limbs <Num0> bar	Blurite crossbow limbs – <Num0> rúd	interface	generalUI	skillGuide
Members: Convert iron felling axes	Tagoknak: iron felling axes átalakítása	interface	generalUI	skillGuide
Iron daggers <Num0> bar	Iron daggers – <Num0> rúd	interface	generalUI	skillGuide
Iron axes <Num0> bar	Iron axes – <Num0> rúd	interface	generalUI	skillGuide
Iron maces <Num0> bar	Iron maces – <Num0> rúd	interface	generalUI	skillGuide
Members: Iron spits <Num0> bar	Tagoknak: Iron spits – <Num0> rúd	interface	generalUI	skillGuide
Iron medium helms <Num0> bar	Iron medium helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Iron crossbow bolts <Num0> bar makes <Num1>	Tagoknak: Iron crossbow bolts – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Iron swords <Num0> bar	Iron swords – <Num0> rúd	interface	generalUI	skillGuide
Members: Iron dart tips <Num0> bar makes <Num1>	Tagoknak: Iron dart tips – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Iron nails <Num0> bar makes <Num1>	Tagoknak: Iron nails – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Iron scimitars <Num0> bars	Iron scimitars – <Num0> rúd	interface	generalUI	skillGuide
Members: Iron spears <Num0> bar, <Num1> oak log	Tagoknak: Iron spears – <Num0> rúd, <Num1> oak log	interface	generalUI	skillGuide
Members: Iron hastae <Num0> bar, <Num1> oak log	Tagoknak: Iron hastae – <Num0> rúd, <Num1> oak log	interface	generalUI	skillGuide
Members: Iron arrowheads <Num0> bar makes <Num1>	Tagoknak: Iron arrowheads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Iron longswords <Num0> bars	Iron longswords – <Num0> rúd	interface	generalUI	skillGuide
Members: Iron javelin heads <Num0> bar makes <Num1>	Tagoknak: Iron javelin heads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Iron full helms <Num0> bars	Iron full helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Iron throwing knives <Num0> bar makes <Num1>	Tagoknak: Iron throwing knives – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Iron square shields <Num0> bars	Iron square shields – <Num0> rúd	interface	generalUI	skillGuide
Members: Iron crossbow limbs <Num0> bar	Tagoknak: Iron crossbow limbs – <Num0> rúd	interface	generalUI	skillGuide
Iron warhammers <Num0> bars	Iron warhammers – <Num0> rúd	interface	generalUI	skillGuide
Iron battleaxes <Num0> bars	Iron battleaxes – <Num0> rúd	interface	generalUI	skillGuide
Iron chainbodies <Num0> bars	Iron chainbodies – <Num0> rúd	interface	generalUI	skillGuide
Members: Oil lantern frames <Num0> bar	Tagoknak: Oil lantern frames – <Num0> rúd	interface	generalUI	skillGuide
Iron kiteshields <Num0> bars	Iron kiteshields – <Num0> rúd	interface	generalUI	skillGuide
Members: Iron claws <Num0> bars	Tagoknak: Iron claws – <Num0> rúd	interface	generalUI	skillGuide
Iron two-handed swords <Num0> bars	Iron two-handed swords – <Num0> rúd	interface	generalUI	skillGuide
Iron platelegs <Num0> bars	Iron platelegs – <Num0> rúd	interface	generalUI	skillGuide
Iron plateskirts <Num0> bars	Iron plateskirts – <Num0> rúd	interface	generalUI	skillGuide
Iron platebodies <Num0> bars	Iron platebodies – <Num0> rúd	interface	generalUI	skillGuide
Members: Convert steel felling axes	Tagoknak: steel felling axes átalakítása	interface	generalUI	skillGuide
Steel daggers <Num0> bar	Steel daggers – <Num0> rúd	interface	generalUI	skillGuide
Steel axes <Num0> bar	Steel axes – <Num0> rúd	interface	generalUI	skillGuide
Steel maces <Num0> bar	Steel maces – <Num0> rúd	interface	generalUI	skillGuide
Steel medium helms <Num0> bar	Steel medium helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Steel crossbow bolts <Num0> bar makes <Num1>	Tagoknak: Steel crossbow bolts – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Steel swords <Num0> bar	Steel swords – <Num0> rúd	interface	generalUI	skillGuide
Steel nails <Num0> bar makes <Num1>	Steel nails – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Steel dart tips <Num0> bar makes <Num1>	Tagoknak: Steel dart tips – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Steel scimitars <Num0> bars	Steel scimitars – <Num0> rúd	interface	generalUI	skillGuide
Members: Steel spears <Num0> bar, <Num1> willow log	Tagoknak: Steel spears – <Num0> rúd, <Num1> willow log	interface	generalUI	skillGuide
Members: Steel hastae <Num0> bar, <Num1> willow log	Tagoknak: Steel hastae – <Num0> rúd, <Num1> willow log	interface	generalUI	skillGuide
Members: Steel arrowheads <Num0> bar makes <Num1>	Tagoknak: Steel arrowheads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Cannonballs <Num0> bar makes <Num1>	Tagoknak: Cannonballs – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Steel crossbow limbs <Num0> bar	Tagoknak: Steel crossbow limbs – <Num0> rúd	interface	generalUI	skillGuide
Steel longswords <Num0> bars	Steel longswords – <Num0> rúd	interface	generalUI	skillGuide
Members: Steel javelin heads <Num0> bar makes <Num1>	Tagoknak: Steel javelin heads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Steel studs <Num0> bar	Tagoknak: Steel studs – <Num0> rúd	interface	generalUI	skillGuide
Steel full helms <Num0> bars	Steel full helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Steel throwing knives <Num0> bar makes <Num1>	Tagoknak: Steel throwing knives – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Steel square shields <Num0> bars	Steel square shields – <Num0> rúd	interface	generalUI	skillGuide
Steel warhammers <Num0> bars	Steel warhammers – <Num0> rúd	interface	generalUI	skillGuide
Steel battleaxes <Num0> bars	Steel battleaxes – <Num0> rúd	interface	generalUI	skillGuide
Steel chainbodies <Num0> bars	Steel chainbodies – <Num0> rúd	interface	generalUI	skillGuide
Steel kiteshields <Num0> bars	Steel kiteshields – <Num0> rúd	interface	generalUI	skillGuide
Members: Steel claws <Num0> bars	Tagoknak: Steel claws – <Num0> rúd	interface	generalUI	skillGuide
Steel two-handed swords <Num0> bars	Steel two-handed swords – <Num0> rúd	interface	generalUI	skillGuide
Steel platelegs <Num0> bars	Steel platelegs – <Num0> rúd	interface	generalUI	skillGuide
Steel plateskirts <Num0> bars	Steel plateskirts – <Num0> rúd	interface	generalUI	skillGuide
Steel platebodies <Num0> bars	Steel platebodies – <Num0> rúd	interface	generalUI	skillGuide
Members: Bullseye lantern frames <Num0> bar	Tagoknak: Bullseye lantern frames – <Num0> rúd	interface	generalUI	skillGuide
Members: Convert mithril felling axes	Tagoknak: mithril felling axes átalakítása	interface	generalUI	skillGuide
Mithril daggers <Num0> bar	Mithril daggers – <Num0> rúd	interface	generalUI	skillGuide
Mithril axes <Num0> bar	Mithril axes – <Num0> rúd	interface	generalUI	skillGuide
Mithril maces <Num0> bar	Mithril maces – <Num0> rúd	interface	generalUI	skillGuide
Mithril medium helms <Num0> bar	Mithril medium helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Mithril crossbow bolts <Num0> bar makes <Num1>	Tagoknak: Mithril crossbow bolts – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Mithril swords <Num0> bar	Mithril swords – <Num0> rúd	interface	generalUI	skillGuide
Members: Mithril dart tips <Num0> bar makes <Num1>	Tagoknak: Mithril dart tips – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Mithril nails <Num0> bar Makes <Num1>	Tagoknak: Mithril nails <Num0> bar Makes <Num1>	interface	generalUI	skillGuide
Mithril scimitars <Num0> bars	Mithril scimitars – <Num0> rúd	interface	generalUI	skillGuide
Members: Mithril spears <Num0> bar, <Num1> maple log	Tagoknak: Mithril spears – <Num0> rúd, <Num1> maple log	interface	generalUI	skillGuide
Members: Mithril hastae <Num0> bar, <Num1> maple log	Tagoknak: Mithril hastae – <Num0> rúd, <Num1> maple log	interface	generalUI	skillGuide
Members: Mithril arrowheads <Num0> bar makes <Num1>	Tagoknak: Mithril arrowheads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Mithril crossbow limbs <Num0> bar	Tagoknak: Mithril crossbow limbs – <Num0> rúd	interface	generalUI	skillGuide
Mithril longswords <Num0> bars	Mithril longswords – <Num0> rúd	interface	generalUI	skillGuide
Members: Mithril javelin heads <Num0> bar makes <Num1>	Tagoknak: Mithril javelin heads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Mithril full helms <Num0> bars	Mithril full helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Mithril throwing knives <Num0> bar makes <Num1>	Tagoknak: Mithril throwing knives – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Mithril square shields <Num0> bars	Mithril square shields – <Num0> rúd	interface	generalUI	skillGuide
Mithril warhammers <Num0> bars	Mithril warhammers – <Num0> rúd	interface	generalUI	skillGuide
Members: Mithril crossbow grapple tips <Num0> bar	Tagoknak: Mithril crossbow grapple tips – <Num0> rúd	interface	generalUI	skillGuide
Mithril battleaxes <Num0> bars	Mithril battleaxes – <Num0> rúd	interface	generalUI	skillGuide
Mithril chainbodies <Num0> bars	Mithril chainbodies – <Num0> rúd	interface	generalUI	skillGuide
Mithril kiteshields <Num0> bars	Mithril kiteshields – <Num0> rúd	interface	generalUI	skillGuide
Members: Mithril claws <Num0> bars	Tagoknak: Mithril claws – <Num0> rúd	interface	generalUI	skillGuide
Mithril two-handed swords <Num0> bars	Mithril two-handed swords – <Num0> rúd	interface	generalUI	skillGuide
Mithril platelegs <Num0> bars	Mithril platelegs – <Num0> rúd	interface	generalUI	skillGuide
Mithril plateskirts <Num0> bars	Mithril plateskirts – <Num0> rúd	interface	generalUI	skillGuide
Mithril platebodies <Num0> bars	Mithril platebodies – <Num0> rúd	interface	generalUI	skillGuide
Members: Convert adamant felling axes	Tagoknak: adamant felling axes átalakítása	interface	generalUI	skillGuide
Adamant daggers <Num0> bar	Adamant daggers – <Num0> rúd	interface	generalUI	skillGuide
Adamant axes <Num0> bar	Adamant axes – <Num0> rúd	interface	generalUI	skillGuide
Adamant maces <Num0> bar	Adamant maces – <Num0> rúd	interface	generalUI	skillGuide
Adamant medium helms <Num0> bar	Adamant medium helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Adamant crossbow bolts <Num0> bar makes <Num1>	Tagoknak: Adamant crossbow bolts – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Adamant swords <Num0> bar	Adamant swords – <Num0> rúd	interface	generalUI	skillGuide
Members: Adamant dart tips <Num0> bar makes <Num1>	Tagoknak: Adamant dart tips – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Adamant nails <Num0> bar makes <Num1>	Tagoknak: Adamant nails – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Adamant scimitars <Num0> bars	Adamant scimitars – <Num0> rúd	interface	generalUI	skillGuide
Members: Adamant spears <Num0> bar, <Num1> yew log	Tagoknak: Adamant spears – <Num0> rúd, <Num1> yew log	interface	generalUI	skillGuide
Members: Adamant hastae <Num0> bar, <Num1> yew log	Tagoknak: Adamant hastae – <Num0> rúd, <Num1> yew log	interface	generalUI	skillGuide
Members: Adamant arrowheads <Num0> bar makes <Num1>	Tagoknak: Adamant arrowheads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Members: Adamant crossbow limbs <Num0> bar	Tagoknak: Adamant crossbow limbs – <Num0> rúd	interface	generalUI	skillGuide
Adamant longswords <Num0> bars	Adamant longswords – <Num0> rúd	interface	generalUI	skillGuide
Members: Adamant javelin heads <Num0> bar makes <Num1>	Tagoknak: Adamant javelin heads – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Adamant full helms <Num0> bars	Adamant full helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Adamant throwing knives <Num0> bar makes <Num1>	Tagoknak: Adamant throwing knives – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Adamant square shields <Num0> bars	Adamant square shields – <Num0> rúd	interface	generalUI	skillGuide
Adamant warhammers <Num0> bars	Adamant warhammers – <Num0> rúd	interface	generalUI	skillGuide
Adamant battleaxes <Num0> bars	Adamant battleaxes – <Num0> rúd	interface	generalUI	skillGuide
Adamant chainbodies <Num0> bars	Adamant chainbodies – <Num0> rúd	interface	generalUI	skillGuide
Adamant kiteshields <Num0> bars	Adamant kiteshields – <Num0> rúd	interface	generalUI	skillGuide
Members: Adamant claws <Num0> bars	Tagoknak: Adamant claws – <Num0> rúd	interface	generalUI	skillGuide
Adamant two-handed swords <Num0> bars	Adamant two-handed swords – <Num0> rúd	interface	generalUI	skillGuide
Adamant platelegs <Num0> bars	Adamant platelegs – <Num0> rúd	interface	generalUI	skillGuide
Adamant plateskirts <Num0> bars	Adamant plateskirts – <Num0> rúd	interface	generalUI	skillGuide
Adamant platebodies <Num0> bars	Adamant platebodies – <Num0> rúd	interface	generalUI	skillGuide
Members: Convert rune felling axes	Tagoknak: rune felling axes átalakítása	interface	generalUI	skillGuide
Rune daggers <Num0> bar	Rune daggers – <Num0> rúd	interface	generalUI	skillGuide
Rune axes <Num0> bar	Rune axes – <Num0> rúd	interface	generalUI	skillGuide
Rune maces <Num0> bar	Rune maces – <Num0> rúd	interface	generalUI	skillGuide
Rune medium helms <Num0> bar	Rune medium helms – <Num0> rúd	interface	generalUI	skillGuide
Members: Rune crossbow bolts <Num0> bar makes <Num1>	Tagoknak: Rune crossbow bolts – <Num0> rúdból <Num1> db	interface	generalUI	skillGuide
Rune swords <Num0> bar	Rune swords – <Num0> rúd	interface	generalUI	skillGuide
