english	translation	category	sub_category	source
Pay	Fizetés	actions	object	Volcano Entrance
Feel	Érintés	actions	object	Gas hole
Add to	Hozzáadás	actions	object	Large Fossil Support
Climb through	Átbújás	actions	object	Hole
Teleport to destination	Teleportálás célhoz	actions	object	Obelisk
Set destination	Célpont beállítása	actions	object	Obelisk
Jump to	Ugrás ide	actions	object	Pillar
Preferences	Beállítások	actions	object	Log storage
Absorb	Felszívás	actions	object	Energy Sphere
Reminisce	Visszaemlékezés	actions	object	Pool of Dreams
Nets	Hálók	actions	object	Annette
Ancient	Ancient	actions	object	Altar of the Occult
Lunar	Lunar	actions	object	Altar of the Occult
Arceuus	Arceuus	actions	object	Altar of the Occult
Standard	Normál	actions	object	Altar of the Occult
Recharge-jewellery	Ékszer feltöltése	actions	object	Totem Pole
Douse	Eloltás	actions	object	Fire
Heal	Gyógyítás	actions	object	Fremennik warrior
Complete	Befejezés	actions	object	Incomplete map
Check-Count	Szám ellenőrzése	actions	object	Gate
Clamber	Kúszás	actions	object	Rock Pile
Look-through	Átnézés	actions	object	Window
Charge-at	Roham	actions	object	Vyre well
Quick-enter	Gyors belépés	actions	object	Door
Resign	Lemondás	actions	object	Vyre Orator
Varrock	Varrock	actions	object	Varrock Portal
Grand Exchange	Grand Exchange	actions	object	Varrock Portal
Toggle	Váltás	actions	object	Varrock Portal
Camelot	Camelot	actions	object	Camelot Portal
Seers' Village	Seers' Village	actions	object	Camelot Portal
Watchtower	Watchtower	actions	object	Yanille Watchtower Portal
Yanille	Yanille	actions	object	Yanille Watchtower Portal
Quick-Enter	Gyors belépés	actions	object	Formidable passage
Iceberg	Iceberg	actions	object	Boat
Weiss	Weiss	actions	object	Boat
Teleport Menu	Teleport menü	actions	object	Portal Nexus
Configuration	Konfiguráció	actions	object	Portal Nexus
Look out	Kitekintés	actions	object	Xeric's Talisman
Teleport menu	Teleport menü	actions	object	Xeric's Talisman
Glade	Tisztás	actions	object	Xeric's Talisman
Inferno	Inferno	actions	object	Xeric's Talisman
Heart	Szív	actions	object	Xeric's Talisman
Honour	Tisztelet	actions	object	Xeric's Talisman
Digsite	Digsite	actions	object	Digsite Pendant
Fossil Island	Fossil Island	actions	object	Digsite Pendant
Lithkren	Lithkren	actions	object	Digsite Pendant
Ancients	Ancients	actions	object	Supplies
Start	Indítás	actions	object	Steam Generator
Align	Igazítás	actions	object	Power Grid
Fill-jug	Korsó feltöltése	actions	object	Coolant Dispenser
Cleanse	Megtisztítás	actions	object	Refinery
Rebalance	Újraelosztás	actions	object	Energy Pylon
Pick-dragonfruit	Sárkánygyümölcs szedése	actions	object	Dragonfruit tree
Crawl through	Átbújás	actions	object	Tunnel
Quick-open	Gyors megnyitás	actions	object	Alchemical door
Take-rock	Kő felvétele	actions	object	Rubble
Quick-Exit	Gyors kilépés	actions	object	Ancient Fire
Check-Faith	Hit ellenőrzése	actions	object	Sacred Bone Burner
Enter-crypt	Belépés a kriptába	actions	object	Thick Web
Follow	Követés	actions	object	Tracks
Fill-from	Feltöltés innen	actions	object	Water Pump
Channel	Csatorna	actions	object	Teleport Platform
Enter-corrupted	Belépés (fertőzött)	actions	object	The Gauntlet
Refine	Finomítás	actions	object	Furnace
Imbue	Feltöltés	actions	object	Altar
Emir's Arena	Emir's Arena	actions	object	Basic Jewellery Box
Castle Wars	Castle Wars	actions	object	Basic Jewellery Box
Ferox Enclave	Ferox Enclave	actions	object	Basic Jewellery Box
Burthorpe	Burthorpe	actions	object	Basic Jewellery Box
Barbarian Outpost	Barbarian Outpost	actions	object	Basic Jewellery Box
Corporeal Beast	Corporeal Beast	actions	object	Basic Jewellery Box
Tears of Guthix	Tears of Guthix	actions	object	Basic Jewellery Box
Wintertodt Camp	Wintertodt Camp	actions	object	Basic Jewellery Box
Warriors' Guild	Warriors' Guild	actions	object	Fancy Jewellery Box
Champions' Guild	Champions' Guild	actions	object	Fancy Jewellery Box
Monastery	Monastery	actions	object	Fancy Jewellery Box
Ranging Guild	Ranging Guild	actions	object	Fancy Jewellery Box
Fishing Guild	Fishing Guild	actions	object	Fancy Jewellery Box
Mining Guild	Mining Guild	actions	object	Fancy Jewellery Box
Crafting Guild	Crafting Guild	actions	object	Fancy Jewellery Box
Cooking Guild	Cooking Guild	actions	object	Fancy Jewellery Box
Woodcutting Guild	Woodcutting Guild	actions	object	Fancy Jewellery Box
Farming Guild	Farming Guild	actions	object	Fancy Jewellery Box
Miscellania	Miscellania	actions	object	Ornate Jewellery Box
Falador Park	Falador Park	actions	object	Ornate Jewellery Box
Dondakan's Rock	Dondakan's Rock	actions	object	Ornate Jewellery Box
Take manta ray	Manta rája felvétele	actions	object	Bounty supply crate
Take anglerfish	Szögcsukahorgász hal felvétele	actions	object	Bounty supply crate
Destroy	Megsemmisítés	actions	object	Lab table
Stamp-out	Kinyomás	actions	object	Magical Fire
Continue	Folytatás	actions	object	Path
Climp-up	Felmászás	actions	object	Stairs
Check-statistics (Personal)	Statisztikák (Személyes)	actions	object	Noticeboard
Check-statistics (Global)	Statisztikák (Globális)	actions	object	Noticeboard
Sacrifice	Feláldozás	actions	object	Saradomin Brazier
Walk-over	Átkelés	actions	object	Bridge
Conjure	Megidézés	actions	object	Portal frame
Search-for-traps	Csapdák keresése	actions	object	Coffin
Pass-Through	Áthaladás	actions	object	Casual
Cut-foot	Tő vágása	actions	object	Dead sourhog
Take-candy	Cukorka felvétele	actions	object	Magical pumpkin
Jump-Down	Leugrás	actions	object	Crevice
Channel (Asgarnia)	Csatorna (Asgarnia)	actions	object	Waystone
Channel (Misthalin)	Csatorna (Misthalin)	actions	object	Waystone
Channel (Kandarin)	Csatorna (Kandarin)	actions	object	Waystone
Channel (Fremennik)	Csatorna (Fremennik)	actions	object	Waystone
Channel (Kharidian Desert)	Csatorna (Kharid sivatag)	actions	object	Waystone
Channel (Morytania)	Csatorna (Morytania)	actions	object	Waystone
Channel (Tirannwn)	Csatorna (Tirannwn)	actions	object	Waystone
Channel (Karamja)	Csatorna (Karamja)	actions	object	Waystone
Channel (Wilderness)	Csatorna (Vadon)	actions	object	Waystone
Slayer	Slayer	actions	object	Kings' ladder
Open (normal)	Megnyitás (normál)	actions	object	Big door
Open (private)	Megnyitás (privát)	actions	object	Big door
Climb-down (normal)	Lemászás (normál)	actions	object	Tunnel entrance
Climb-down (private)	Lemászás (privát)	actions	object	Tunnel entrance
Sacrifice-fragments	Töredékek feláldozása	actions	object	Soul Obelisk
Remove-decorations	Díszítések eltávolítása	actions	object	Christmas curtains
Untether	Kikötés megszüntetése	actions	object	Mast
Tether	Kikötés	actions	object	Mast
Remove-trophy	Trófea eltávolítása	actions	object	Trophy pedestal
View-trophies	Trófeák megtekintése	actions	object	Oak trophy case
Remove-banner	Zászló eltávolítása	actions	object	Banner stand
Remove-outfit	Öltözet eltávolítása	actions	object	Oak outfit stand
Spin-globe	Glóbusz forgatása	actions	object	Trailblazer globe
League-statistics	Liga statisztikák	actions	object	League Accomplishment Scroll
League-rankings	Liga rangsor	actions	object	League Accomplishment Scroll
League-firsts	Liga elsők	actions	object	League Accomplishment Scroll
Cook-at	Főzés itt	actions	object	Shrine
Big-search	Nagy keresés	actions	object	Reward pool
Quick-climb	Gyors mászás	actions	object	Rope ladder
Solo-start	Egyedüli indítás	actions	object	Rope ladder
Prepare-fish	Hal előkészítése	actions	object	Preparation Table
Offer-fish	Hal felajánlása	actions	object	Altar
Entertain	Szórakoztatás	actions	object	Piano
Play-quietly	Halk játék	actions	object	Piano
Background-music	Háttérzene	actions	object	Piano
Enter-member	Belépés tagként	actions	object	Clan hall portal
Enter-guest	Belépés vendégként	actions	object	Clan hall portal
Pet	Simogatás	actions	object	Cat
Pass (normal)	Áthaladás (normál)	actions	object	Ancient Barrier
Pass (private)	Áthaladás (privát)	actions	object	Ancient Barrier
Adjust	Beállítás	actions	object	Machine
Say-name	Név kimondása	actions	object	Grave
Deposit-runes	Rúnák letétele	actions	object	Deposit Pool
Deposit-items	Tárgyak letétele	actions	object	Deposit Pool
Visual-effects	Vizuális effektek	actions	object	Barrier
Toggle-talisman	Talizmán váltása	actions	object	Guardian of Air
Assemble	Összeszerkesztés	actions	object	Essence pile (elemental)
Take-chisel	Véső felvétele	actions	object	Weak cells
Place-cell	Cella elhelyezése	actions	object	Inactive cell tile
Exit-through (Kourend)	Kilépés erre (Kourend)	actions	object	Blood rift
Pay-toll(10gp)	Útdíj fizetése (10gp)	actions	object	Gate
Pour	Öntés	actions	object	Crucible (full)
Heat-preform	Előgyártmány melegítése	actions	object	Lava pool
Dunk-preform	Előgyártmány bemerítése	actions	object	Lava pool
Cool-preform	Lehűtés	actions	object	Waterfall
Quench-preform	Előgyártmány hűtése	actions	object	Waterfall
Store-preform	Előgyártmány tárolása	actions	object	Preform storage
Take-preform	Előgyártmány felvétele	actions	object	Preform storage
Rank	Rang	actions	object	Arena recruitment board
Quick-use	Gyors használat	actions	object	Staging area steps
Quick-Pass	Gyors áthaladás	actions	object	Barrier
Flip	Megfordítás	actions	object	Pressure plate
Rotate-clockwise	Forgás az óramutató járásával	actions	object	Mirror
Rotate-anticlockwise	Forgás az óramutató járásával ellentétesen	actions	object	Mirror
Deposit-pickaxe	Csákány letétele	actions	object	Statue
Quick-Use	Gyors használat	actions	object	Teleport crystal
Quick-Board	Gyors felszállás	actions	object	Sacrificial boat
Check-permissions	Engedélyek ellenőrzése	actions	object	Chest
Pickup	Felvétel	actions	object	Gingerbread
Check-times	Idők ellenőrzése	actions	object	Santa's log
Push-against	Nekitolás	actions	object	Wall
Check-Fee	Díj ellenőrzése	actions	object	Crevice
Peer-into	Benézés	actions	object	Prifddinas Display
Release-bees	Méhek engedése	actions	object	Beehive
Add-mulch	Mulcs hozzáadása	actions	object	Struggling sapling
Read (Awakened)	Olvasás (Felébredt)	actions	object	Scoreboard
Attach-rope	Kötél rögzítése	actions	object	Rock
Climb-rope	Kötélmászás	actions	object	Rock
Build-barricade	Torlasz építése	actions	object	Surface
Take-supplies	Készletek felvétele	actions	object	Stone chest
Lockpick	Zárfeltörés	actions	object	Stone chest (locked)
Burn	Égetés	actions	object	Shipwreck
Burn`	Égetés	actions	object	Gunpowder
Withdraw	Kivétel	actions	object	Extract orifice
Tend-to	Gondozás	actions	object	Forester's Campfire
Rest	Pihenés	actions	object	Forester's Campfire
Retrieve-egg	Tojás visszaszerzése	actions	object	Pheasant Nest
Revert	Visszaállítás	actions	object	Fiery Ornate Pool of Rejuvenation
Channel (Great Kourend)	Csatorna (Nagy Kourend)	actions	object	Waystone
Travel-End	Utazás vége	actions	object	Portal
Travel-Start	Utazás kezdete	actions	object	Portal
Reload	Újratöltés	actions	object	Steps
Collect-reward	Jutalom gyűjtése	actions	object	Table
Look-over	Átnézés	actions	object	Balcony
Fortis Colosseum	Fortis Colosseum	actions	object	Basic Jewellery Box
View-stats	Statisztikák megtekintése	actions	object	Colosseum scoreboard
View-glory	Dicsőség megtekintése	actions	object	Colosseum scoreboard
Sabotage	Szabotázs	actions	object	Lily pad
Plant-evidence	Bizonyíték elhelyezése	actions	object	Capybara Dung
Rustle	Zizegtetés	actions	object	Bush
Make-cuppa	Teafőzés	actions	object	Cooking stove
Align-net	Háló igazítása	actions	object	Stream
Take-from Fishing	Felvétel (Halászat)	actions	object	Supply crates
Take-from Hunting	Felvétel (Vadászat)	actions	object	Supply crates
Take-from Herblore	Felvétel (Gyógynövény)	actions	object	Supply crates
Take-log	Rönk felvétele	actions	object	Roots
Bask	Sütkérezés	actions	object	Shrine of Ralos
Cimb-down	Lemászás	actions	object	Open trapdoor
Bless	Megáldás	actions	object	Exposed altar
Deposit-eggs	Tojások letétele	actions	object	Easter mine cart
Redeem	Beváltás	actions	object	Agility dispenser
Squeeze-Through	Átpréselés	actions	object	Crevice
Jump-Across	Átugrás	actions	object	Dry stone wall
Cross-over	Átkelés	actions	object	Broken wall
Take-many	Sok felvétele	actions	object	Medical box
Slide-along	Végigcsúszás	actions	object	Icy ledge
Take-uniform	Egyenruha felvétele	actions	object	Wardrobe
Concentrate-potion	Főzet sűrítése	actions	object	Retort
Homogenise-potion	Főzet homogenizálása	actions	object	Agitator
Crystalise-potion	Főzet kristályosítása	actions	object	Alembic
Fulfil-order	Megrendelés teljesítése	actions	object	Conveyor belt
Fight-privately	Privát harc	actions	object	Meeting flag
Leave-group	Csoport elhagyása	actions	object	Meeting flag (private)
Quick-slide	Gyors csúszás	actions	object	Slope
Change	Csere	actions	object	Scarecrow
Plant	Ültetés	actions	object	Pumpkin patch
Carve-pumpkin	Tök faragása	actions	object	Pumpkin carving table
Walk-to	Odamenetel	actions	object	Blue tile
Channel (Varlamore)	Csatorna (Varlamore)	actions	object	Waystone
Reinvigorate	Megelevenítés	actions	object	Book of Eternal Flame
Trophies	Trófeák	actions	object	Teak display
Bottom-Floor	Alsó szint	actions	object	Ladder
Quench	Csillapítás	actions	object	Pool of ichor
Hang-over	Átlógatás	actions	object	Platform edge
Accurate	Pontos	actions	menu	combatOptionsTab
Aggressive	Agresszív	actions	menu	combatOptionsTab
Defensive	Védekező	actions	menu	combatOptionsTab
Controlled	Irányított	actions	menu	combatOptionsTab
Chop	Vágás	actions	menu	combatOptionsTab
Slash	Csapás	actions	menu	combatOptionsTab
Stab	Szúrás	actions	menu	combatOptionsTab
Block	Blokkolás	actions	menu	combatOptionsTab
Pound	Zúzás	actions	menu	combatOptionsTab
Pummel	Püfölés	actions	menu	combatOptionsTab
Spike	Tüskézés	actions	menu	combatOptionsTab
Impale	Felnyársal	actions	menu	combatOptionsTab
Smash	Szétzúzás	actions	menu	combatOptionsTab
Lunge	Szúrás	actions	menu	combatOptionsTab
Swipe	Húzás	actions	menu	combatOptionsTab
Hack	Vágás	actions	menu	combatOptionsTab
Reap	Aratás	actions	menu	combatOptionsTab
Rapid	Gyors	actions	menu	combatOptionsTab
Longrange	Hosszú hatótáv	actions	menu	combatOptionsTab
Flick	Billegtetés	actions	menu	combatOptionsTab
Lash	Ostorcsapás	actions	menu	combatOptionsTab
Deflect	Kitérés	actions	menu	combatOptionsTab
Fend	Védekezés	actions	menu	combatOptionsTab
Bash	Csapás	actions	menu	combatOptionsTab
Blaze	Lángolás	actions	menu	combatOptionsTab
Scorch	Megperzselés	actions	menu	combatOptionsTab
Flare	Jelzőfáklya	actions	menu	combatOptionsTab
Punch	Ökölcsapás	actions	menu	combatOptionsTab
Kick	Rúgás	actions	menu	combatOptionsTab
Hide	Elrejtés	actions	menu	prayerTab
Activate	Aktiválás	actions	menu	prayerTab
Unhide	Megjelenítés	actions	menu	prayerTab
Deactivate	Deaktiválás	actions	menu	prayerTab
Animation	Animáció	actions	menu	spellBookTab
Hide	Elrejtés	actions	menu	spellBookTab
Cast	Varázslat	actions	menu	spellBookTab
Unhide	Megjelenítés	actions	menu	spellBookTab
View	Megtekintés	actions	menu	spellBookTab
Warnings	Figyelmeztetések	actions	menu	spellBookTab
Configure	Beállítás	actions	menu	spellBookTab
Grand Exchange	Grand Exchange	actions	menu	spellBookTab
Seers'	Seers'	actions	menu	spellBookTab
Group: Previous	Csoport: Előző	actions	menu	spellBookTab
Group: Choose	Csoport: Választás	actions	menu	spellBookTab
Outside	Kint	actions	menu	spellBookTab
Yanille	Yanille	actions	menu	spellBookTab
Enable warning	Figyelmeztetés engedélyezése	actions	menu	spellBookTab
Disable warning	Figyelmeztetés letiltása	actions	menu	spellBookTab
Turael	Turael	actions	menu	spellBookTab
Target	Célzás	actions	menu	spellBookTab
Setup	Beállítás	actions	menu	spellBookTab
Arceuus	Arceuus	actions	menu	spellBookTab
Ancient	Ancient	actions	menu	spellBookTab
Standard	Normál	actions	menu	spellBookTab
Reanimate	Újraélesztés	actions	menu	spellBookTab
Resurrect	Feltámasztás	actions	menu	spellBookTab
Walk here	Séta ide	actions	manual	
Examine	Vizsgálat	actions	npc	
Examine	Vizsgálat	actions	item	
Take	Felvétel	actions	item	
Light	Meggyújtás	actions	item	
(Members)	(Members)	actions	item	
Cancel	Mégsem	actions	manual	
Follow	Követés	actions	player	
Trade with	Kereskedés	actions	player	
Lookup	Keresés	actions	player	
Equipment	Felszerelés	actions	player	
Report	Jelentés	actions	player	
Adjust Music Volume	Zenei hangerő beállítása	actions	menu	settingsTab
Adjust Area Sound Volume	Területi hangerő beállítása	actions	menu	settingsTab
Adjust Sound Effect Volume	Hangeffekt hangerő beállítása	actions	menu	settingsTab
Toggle unlock message	Feloldás üzenet váltása	actions	menu	settingsTab
Play	Játék	actions	menu	
Open Activity Adviser	Tevékenység-tanácsadó megnyitása	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)	<colNum0>Chat mód:</col> Csoport (/@g)	actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)	<colNum0>Chat mód:</col> Vendég klán (/@gc)	actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)	<colNum0>Chat mód:</col> Klán (/@c)	actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)	<colNum0>Chat mód:</col> Csatorna (/@f)	actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)	<colNum0>Chat mód:</col> Nyilvános (/@p)	actions	menu	
Clear history	Előzmények törlése	actions	menu	
Switch tab	Fül váltása	actions	menu	
Configure filter	Szűrő beállítása	actions	menu	
<colNum0>Game:</col> Clear history	<colNum0>Játék:</col> Előzmények törlése	actions	menu	
<colNum0>Game:</col> Filter	<colNum0>Játék:</col> Szűrő	actions	menu	
Setup your autochat	Automatikus chat beállítása	actions	menu	
Filter public chat	Nyilvános chat szűrése	actions	menu	
<colNum0>Public:</col> Clear history	<colNum0>Nyilvános:</col> Előzmények törlése	actions	menu	
<colNum0>Public:</col> Hide	<colNum0>Nyilvános:</col> Elrejtés	actions	menu	
<colNum0>Public:</col> Show none	<colNum0>Nyilvános:</col> Semmi sem látható	actions	menu	
<colNum0>Public:</col> Show friends	<colNum0>Nyilvános:</col> Barátok megjelenítése	actions	menu	
<colNum0>Public:</col> Show standard	<colNum0>Nyilvános:</col> Alapértelmezett megjelenítése	actions	menu	
<colNum0>Public:</col> Show autochat	<colNum0>Nyilvános:</col> Autochat megjelenítése	actions	menu	
<colNum0>Private:</col> Clear history	<colNum0>Privát:</col> Előzmények törlése	actions	menu	
<colNum0>Private:</col> Show none	<colNum0>Privát:</col> Semmi sem látható	actions	menu	
<colNum0>Private:</col> Show friends	<colNum0>Privát:</col> Barátok megjelenítése	actions	menu	
<colNum0>Private:</col> Show all	<colNum0>Privát:</col> Összes megjelenítése	actions	menu	
<colNum0>Channel:</col> Clear history	<colNum0>Csatorna:</col> Előzmények törlése	actions	menu	
<colNum0>Channel:</col> Show none	<colNum0>Csatorna:</col> Semmi sem látható	actions	menu	
<colNum0>Channel:</col> Show friends	<colNum0>Csatorna:</col> Barátok megjelenítése	actions	menu	
<colNum0>Channel:</col> Show all	<colNum0>Csatorna:</col> Összes megjelenítése	actions	menu	
<colNum0>Clan:</col> Clear history	<colNum0>Klán:</col> Előzmények törlése	actions	menu	
<colNum0>Clan:</col> Show none	<colNum0>Klán:</col> Semmi sem látható	actions	menu	
<colNum0>Clan:</col> Show friends	<colNum0>Klán:</col> Barátok megjelenítése	actions	menu	
<colNum0>Clan:</col> Show all	<colNum0>Klán:</col> Összes megjelenítése	actions	menu	
<colNum0>Group:</col> Clear history	<colNum0>Csoport:</col> Előzmények törlése	actions	menu	
<colNum0>Group:</col> Show none	<colNum0>Csoport:</col> Semmi sem látható	actions	menu	
<colNum0>Group:</col> Show friends	<colNum0>Csoport:</col> Barátok megjelenítése	actions	menu	
<colNum0>Group:</col> Show all	<colNum0>Csoport:</col> Összes megjelenítése	actions	menu	
<colNum0>Trade:</col> Clear history	<colNum0>Kereskedés:</col> Előzmények törlése	actions	menu	
<colNum0>Trade:</col> Show none	<colNum0>Kereskedés:</col> Semmi sem látható	actions	menu	
<colNum0>Trade:</col> Show friends	<colNum0>Kereskedés:</col> Barátok megjelenítése	actions	menu	
<colNum0>Trade:</col> Show all	<colNum0>Kereskedés:</col> Összes megjelenítése	actions	menu	
Report game bug	Játékbug jelentése	actions	menu	
Report abuse	Visszaélés jelentése	actions	menu	
Combat Options	Harci lehetőségek	actions	menu	
Skills	Készségek	actions	menu	
Achievement Diaries	Teljesítmény naplók	actions	menu	
Inventory	Leltár	actions	menu	
Worn Equipment	Viselt felszerelés	actions	menu	
Enable prayer reordering	Ima átrendezés engedélyezése	actions	menu	
Disable prayer filtering	Ima szűrés letiltása	actions	menu	
Prayer	Ima	actions	menu	
Enable spell reordering	Varázslat átrendezés engedélyezése	actions	menu	
Disable spell filtering	Varázslat szűrés letiltása	actions	menu	
Magic	Mágia	actions	menu	
Friends List	Baráti lista	actions	menu	
Account Management	Fiókkezelés	actions	menu	
Ironman Group	Ironman Group	actions	menu	
Settings	Beállítások	actions	menu	
Emotes	Emóciók	actions	menu	
Music Player	Zenei lejátszó	actions	menu	
Logout	Kijelentkezés	actions	menu	
Look West	Nyugatra nézés	actions	menu	
Look South	Délre nézés	actions	menu	
Look East	Keletre nézés	actions	menu	
Look North	Északra nézés	actions	menu	
Setup	Beállítás	actions	menu	
Hide	Elrejtés	actions	menu	
Show	Megjelenítés	actions	menu	
Activate	Aktiválás	actions	menu	
Toggle Run	Futás váltása	actions	menu	
Use	Használat	actions	menu	
Bond Pouch	Bond Pouch	actions	menu	
Open Store	Bolt megnyitása	actions	menu	
Clear	Törlés	actions	menu	
Import	Importálás	actions	menu	
Export	Exportálás	actions	menu	
Fullscreen <colNum0>World Map</col>	Teljes képernyő <colNum0>Világtérkép</col>	actions	menu	
Floating <colNum0>World Map</col>	Lebegő <colNum0>Világtérkép</col>	actions	menu	
DPS	DPS	actions	menu	
Search	Keresés	actions	menu	
Lookup	Keresés	actions	menu	
Auto retaliate	Automatikus visszaütés	actions	menu	combatOptionsTab
Use <colNum0>Special Attack</col>	Használat: <colNum0>Speciális támadás</col>	actions	menu	combatOptionsTab
Choose spell	Varázslat választása	actions	menu	combatOptionsTab
Focus	Fókuszálás	actions	menu	combatOptionsTab
Wiki	Wiki	actions	menu	
Add to canvas	Vászonra adás	actions	menu	
View <colNum0>Attack</col> guide	Útmutató: <colNum0>Attack</col>	actions	menu	skillsTab
View <colNum0>Hitpoints</col> guide	Útmutató: <colNum0>Hitpoints</col>	actions	menu	skillsTab
View <colNum0>Mining</col> guide	Útmutató: <colNum0>Mining</col>	actions	menu	skillsTab
View <colNum0>Strength</col> guide	Útmutató: <colNum0>Strength</col>	actions	menu	skillsTab
View <colNum0>Agility</col> guide	Útmutató: <colNum0>Agility</col>	actions	menu	skillsTab
View <colNum0>Smithing</col> guide	Útmutató: <colNum0>Smithing</col>	actions	menu	skillsTab
View <colNum0>Defence</col> guide	Útmutató: <colNum0>Defence</col>	actions	menu	skillsTab
View <colNum0>Herblore</col> guide	Útmutató: <colNum0>Herblore</col>	actions	menu	skillsTab
View <colNum0>Fishing</col> guide	Útmutató: <colNum0>Fishing</col>	actions	menu	skillsTab
View <colNum0>Ranged</col> guide	Útmutató: <colNum0>Ranged</col>	actions	menu	skillsTab
View <colNum0>Thieving</col> guide	Útmutató: <colNum0>Thieving</col>	actions	menu	skillsTab
View <colNum0>Cooking</col> guide	Útmutató: <colNum0>Cooking</col>	actions	menu	skillsTab
View <colNum0>Prayer</col> guide	Útmutató: <colNum0>Prayer</col>	actions	menu	skillsTab
View <colNum0>Crafting</col> guide	Útmutató: <colNum0>Crafting</col>	actions	menu	skillsTab
View <colNum0>Firemaking</col> guide	Útmutató: <colNum0>Firemaking</col>	actions	menu	skillsTab
View <colNum0>Magic</col> guide	Útmutató: <colNum0>Magic</col>	actions	menu	skillsTab
View <colNum0>Fletching</col> guide	Útmutató: <colNum0>Fletching</col>	actions	menu	skillsTab
View <colNum0>Woodcutting</col> guide	Útmutató: <colNum0>Woodcutting</col>	actions	menu	skillsTab
View <colNum0>Runecraft</col> guide	Útmutató: <colNum0>Runecraft</col>	actions	menu	skillsTab
View <colNum0>Slayer</col> guide	Útmutató: <colNum0>Slayer</col>	actions	menu	skillsTab
View <colNum0>Farming</col> guide	Útmutató: <colNum0>Farming</col>	actions	menu	skillsTab
View <colNum0>Construction</col> guide	Útmutató: <colNum0>Construction</col>	actions	menu	skillsTab
View <colNum0>Hunter</col> guide	Útmutató: <colNum0>Hunter</col>	actions	menu	skillsTab
Character Summary	Karakter összefoglaló	actions	menu	characterSummaryTab
Achievement Diaries	Teljesítmény naplók	actions	menu	characterSummaryTab
Quest List	Küldetéslista	actions	menu	characterSummaryTab
Character Summary	Karakter összefoglaló	actions	menu	achievementDiaryTab
Achievement Diaries	Teljesítmény naplók	actions	menu	achievementDiaryTab
Quest List	Küldetéslista	actions	menu	achievementDiaryTab
Character Summary	Karakter összefoglaló	actions	menu	questListTab
Achievement Diaries	Teljesítmény naplók	actions	menu	questListTab
Quest List	Küldetéslista	actions	menu	questListTab
Character Summary	Karakter összefoglaló	actions	menu	
Quest List	Küldetéslista	actions	menu	
Rewards	Jutalmak	actions	menu	characterSummaryTab
Tasks	Feladatok	actions	menu	characterSummaryTab
Bosses	Főellenségek	actions	menu	characterSummaryTab
Overview	Áttekintő	actions	menu	characterSummaryTab
Collection Log	Gyűjtési napló	actions	menu	characterSummaryTab
Collection Overview	Gyűjtési áttekintő	actions	menu	characterSummaryTab
Reveal	Felfedés	actions	menu	characterSummaryTab
Hide	Elrejtés	actions	menu	characterSummaryTab
Open	Megnyitás	actions	menu	questListTab
Close	Bezárás	actions	menu	questListTab
Start Quest Helper	Küldetés segítő indítása	actions	menu	questListTab
Open wiki quick guide:	Wiki gyors útmutató megnyitása:	actions	menu	questListTab
Open wiki guide:	Wiki útmutató megnyitása:	actions	menu	questListTab
Show on map:	Megmutatás a térképen:	actions	menu	questListTab
Read journal:	Napló olvasása:	actions	menu	questListTab
Start Helper	Segítő indítása	actions	menu	achievementDiaryTab
Wiki <colNum0>Ardougne Journal</col>	Wiki: <colNum0>Ardougne napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Ardougne Journal</col>	Megnyitás: <colNum0>Ardougne napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Desert Journal</col>	Wiki: <colNum0>Sivatag napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Desert Journal</col>	Megnyitás: <colNum0>Sivatag napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Falador Journal</col>	Wiki: <colNum0>Falador napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Falador Journal</col>	Megnyitás: <colNum0>Falador napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Fremennik Journal</col>	Wiki: <colNum0>Fremennik napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Fremennik Journal</col>	Megnyitás: <colNum0>Fremennik napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Kandarin Journal</col>	Wiki: <colNum0>Kandarin napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Kandarin Journal</col>	Megnyitás: <colNum0>Kandarin napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Karamja Journal</col>	Wiki: <colNum0>Karamja napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Karamja Journal</col>	Megnyitás: <colNum0>Karamja napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Kourend & Kebos Journal</col>	Wiki: <colNum0>Kourend & Kebos napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Kourend & Kebos Journal</col>	Megnyitás: <colNum0>Kourend & Kebos napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Lumbridge & Draynor Journal</col>	Wiki: <colNum0>Lumbridge & Draynor napló</col>	actions	menu	achievementDiaryTab
